ID_Producto,Categoria,Precio,Moneda,Marca,Descripción,Rating_Promedio,Cluster
69,Ropa,990.13,MXN,HA,Expanded motivating workforce,4.0,0
70,Gaming,72.17,COP,HA,estructura óptima compatible,2.9,1
71,Tecnología,208.96,CLP,Nike,groupware logística multi-capas,1.6,1
72,Gaming,858.29,MXN,Akita,Open-source grid-enabled framework,1.0,2
73,Electrohogar,187.12,CLP,GE,Automated reciprocal conglomeration,2.9,1
74,Ropa,199.72,MXN,Nike,marco de tiempo explícita mandatorio,3.6,1
75,Electrónica,830.28,COP,Sony,aprovechar transicional adaptativo,1.3,2
76,Tecnología,836.42,ARS,Apple,sinergia regional centralizado,2.3,2
77,Electrónica,984.24,ARS,Xiaomi,colaboración motivadora clonado,4.3,0
78,Electrohogar,305.21,COP,Nike,acceso innovadora configurable,1.2,1
79,Tecnología,714.23,COP,GE,Devolved multi-state info-mediaries,1.5,2
80,Electrohogar,856.38,MXN,HA,Face-to-face bi-directional access,1.7,2
81,Gaming,22.82,CLP,Sony,Profit-focused 24hour methodology,4.4,1
82,Ropa,258.05,ARS,Panasonic,codificar asíncrona versátil,3.3,1
83,Ropa,269.85,MXN,LG,habilidad 6ta generación proactivo,5.0,0
84,Gaming,741.68,COP,Samsung,Inverse analyzing system engine,1.8,2
85,Gaming,787.49,CLP,GE,emulación misión crítica asimilado,2.9,2
86,Gaming,888.76,ARS,LG,iniciativa amplio abanico operativo,1.4,2
87,Gaming,461.87,CLP,Sony,Future-proofed upward-trending application,3.7,0
88,Electrónica,351.39,CLP,Panasonic,funcionalidad nacional implementado,2.6,1
89,Tecnología,137.07,MXN,Nike,previsión nueva generación distribuido,1.3,1
90,Electrohogar,431.04,MXN,Samsung,proyección nueva generación centrado en el usuario,4.4,0
91,Tecnología,77.93,CLP,LG,Robust intermediate service-desk,1.7,1
92,Electrónica,806.69,ARS,Nike,migración multiestado enfocado,2.8,2
93,Gaming,125.1,ARS,Nike,sinergia valor añadido configurable,3.3,1
94,Ropa,279.37,COP,GE,funcionalidad generada por el cliente mejorado,2.5,1
95,Electrónica,240.74,ARS,Samsung,Re-contextualized asymmetric hub,4.8,0
96,Electrohogar,599.26,COP,Nike,Organic hybrid extranet,4.5,0
97,Electrohogar,488.74,MXN,HA,Synchronized needs-based leverage,4.4,0
98,Ropa,887.53,COP,Xiaomi,Persistent human-resource solution,4.4,0
99,Ropa,76.61,ARS,Samsung,Automated client-driven firmware,2.6,1
100,Electrónica,462.29,COP,GE,Robust 24hour monitoring,2.6,1
